# Gaussian Noise Analysis
# Date: 2025-05-21 02:11:34
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=8

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1202    |   inf   
   5    |   0.1183    |  26.01  
  10    |   0.0257    |  20.10  
  15    |   0.0095    |  16.77  
  20    |   0.0310    |  14.53  
  25    |   0.0149    |  12.92  
  30    |   0.0042    |  11.72  
  35    |   -0.0011   |  10.81  
  40    |   -0.0011   |  10.09  
  45    |   -0.0813   |   9.53  
  50    |   -0.0659   |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1664    |   inf   
   5    |   0.1664    |  25.99  
  10    |   0.0983    |  20.09  
  15    |   0.0148    |  16.77  
  20    |   0.0583    |  14.53  
  25    |   0.0203    |  12.92  
  30    |   0.0149    |  11.72  
  35    |   0.0364    |  10.80  
  40    |   0.0364    |  10.09  
  45    |   -0.0068   |   9.53  
  50    |   -0.0232   |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2291    |   inf   
   5    |   0.2564    |  25.96  
  10    |   0.2636    |  20.09  
  15    |   0.1702    |  16.77  
  20    |   0.0866    |  14.53  
  25    |   0.0639    |  12.92  
  30    |   0.0854    |  11.72  
  35    |   0.0695    |  10.80  
  40    |   0.0695    |  10.09  
  45    |   0.0314    |   9.53  
  50    |   0.0094    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2998    |   inf   
   5    |   0.2925    |  25.92  
  10    |   0.3308    |  20.08  
  15    |   0.3524    |  16.76  
  20    |   0.2277    |  14.53  
  25    |   0.1664    |  12.92  
  30    |   0.1383    |  11.72  
  35    |   0.1262    |  10.80  
  40    |   0.1727    |  10.09  
  45    |   0.1163    |   9.53  
  50    |   0.0751    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4243    |   inf   
   5    |   0.4377    |  25.87  
  10    |   0.4773    |  20.07  
  15    |   0.4076    |  16.76  
  20    |   0.2925    |  14.53  
  25    |   0.2635    |  12.92  
  30    |   0.2426    |  11.72  
  35    |   0.1881    |  10.80  
  40    |   0.2009    |  10.09  
  45    |   0.1287    |   9.53  
  50    |   0.1043    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4888    |   inf   
   5    |   0.4773    |  25.82  
  10    |   0.4773    |  20.05  
  15    |   0.4562    |  16.75  
  20    |   0.4076    |  14.52  
  25    |   0.2998    |  12.91  
  30    |   0.2489    |  11.72  
  35    |   0.2426    |  10.80  
  40    |   0.2495    |  10.09  
  45    |   0.1636    |   9.53  
  50    |   0.1572    |   9.07  


