# Gaussian Noise Analysis
# Date: 2025-05-21 00:47:39
# Parameters: Image=goldhill, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=8

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2360    |   inf   
   5    |   0.1727    |  26.07  
  10    |   0.0887    |  20.26  
  15    |   0.0575    |  16.97  
  20    |   0.0788    |  14.75  
  25    |   0.0845    |  13.13  
  30    |   0.0845    |  11.90  
  35    |   0.0896    |  10.95  
  40    |   0.0531    |  10.21  
  45    |   0.0113    |   9.61  
  50    |   0.0268    |   9.12  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3610    |   inf   
   5    |   0.3111    |  26.05  
  10    |   0.2470    |  20.25  
  15    |   0.1412    |  16.97  
  20    |   0.1569    |  14.75  
  25    |   0.1210    |  13.13  
  30    |   0.1108    |  11.90  
  35    |   0.0737    |  10.95  
  40    |   0.0685    |  10.21  
  45    |   0.0531    |   9.61  
  50    |   0.0268    |   9.12  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4114    |   inf   
   5    |   0.3777    |  26.03  
  10    |   0.3464    |  20.25  
  15    |   0.2846    |  16.97  
  20    |   0.1943    |  14.75  
  25    |   0.1674    |  13.12  
  30    |   0.1516    |  11.90  
  35    |   0.1307    |  10.95  
  40    |   0.1153    |  10.21  
  45    |   0.0526    |   9.61  
  50    |   0.0578    |   9.12  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4725    |   inf   
   5    |   0.4591    |  25.99  
  10    |   0.3908    |  20.24  
  15    |   0.2989    |  16.97  
  20    |   0.2846    |  14.74  
  25    |   0.1835    |  13.12  
  30    |   0.1727    |  11.90  
  35    |   0.1621    |  10.95  
  40    |   0.1568    |  10.21  
  45    |   0.1046    |   9.61  
  50    |   0.0942    |   9.12  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5716    |   inf   
   5    |   0.5716    |  25.95  
  10    |   0.5361    |  20.23  
  15    |   0.4248    |  16.96  
  20    |   0.3137    |  14.74  
  25    |   0.2318    |  13.12  
  30    |   0.1727    |  11.90  
  35    |   0.1781    |  10.95  
  40    |   0.1621    |  10.21  
  45    |   0.1412    |   9.61  
  50    |   0.1098    |   9.12  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6394    |   inf   
   5    |   0.6240    |  25.91  
  10    |   0.6075    |  20.22  
  15    |   0.5270    |  16.96  
  20    |   0.4727    |  14.74  
  25    |   0.3731    |  13.12  
  30    |   0.2374    |  11.90  
  35    |   0.2054    |  10.95  
  40    |   0.1889    |  10.21  
  45    |   0.1727    |   9.61  
  50    |   0.1621    |   9.12  


