# Gaussian Noise Analysis
# Date: 2025-05-20 23:46:01
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=8

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1956    |   inf   
   5    |   0.1536    |  26.03  
  10    |   0.2098    |  20.11  
  15    |   0.1882    |  16.78  
  20    |   0.1359    |  14.55  
  25    |   0.1097    |  12.93  
  30    |   0.1097    |  11.73  
  35    |   0.1150    |  10.81  
  40    |   0.1207    |  10.09  
  45    |   0.1207    |   9.53  
  50    |   0.1207    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2363    |   inf   
   5    |   0.2929    |  26.01  
  10    |   0.2696    |  20.11  
  15    |   0.2470    |  16.78  
  20    |   0.2407    |  14.54  
  25    |   0.1727    |  12.93  
  30    |   0.1674    |  11.73  
  35    |   0.1626    |  10.81  
  40    |   0.1471    |  10.09  
  45    |   0.1207    |   9.53  
  50    |   0.1261    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3428    |   inf   
   5    |   0.3713    |  25.98  
  10    |   0.4124    |  20.10  
  15    |   0.3344    |  16.78  
  20    |   0.2790    |  14.54  
  25    |   0.2514    |  12.93  
  30    |   0.1727    |  11.73  
  35    |   0.1626    |  10.81  
  40    |   0.1471    |  10.09  
  45    |   0.1572    |   9.53  
  50    |   0.1261    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4753    |   inf   
   5    |   0.4734    |  25.95  
  10    |   0.4657    |  20.09  
  15    |   0.4318    |  16.78  
  20    |   0.3525    |  14.54  
  25    |   0.2903    |  12.93  
  30    |   0.2669    |  11.73  
  35    |   0.2098    |  10.81  
  40    |   0.2098    |  10.09  
  45    |   0.1781    |   9.53  
  50    |   0.1626    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5440    |   inf   
   5    |   0.5475    |  25.91  
  10    |   0.5084    |  20.09  
  15    |   0.4591    |  16.77  
  20    |   0.4318    |  14.54  
  25    |   0.3998    |  12.93  
  30    |   0.2942    |  11.73  
  35    |   0.2942    |  10.81  
  40    |   0.2098    |  10.09  
  45    |   0.1889    |   9.53  
  50    |   0.1835    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5797    |   inf   
   5    |   0.6105    |  25.86  
  10    |   0.5394    |  20.07  
  15    |   0.5595    |  16.77  
  20    |   0.5068    |  14.54  
  25    |   0.4860    |  12.93  
  30    |   0.3998    |  11.73  
  35    |   0.3261    |  10.81  
  40    |   0.3111    |  10.09  
  45    |   0.2165    |   9.53  
  50    |   0.2109    |   9.07  


