# JPEG Quality Compression Analysis
# Date: 2025-05-20 22:17:09
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=4

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.0934   |  24.00  
  12    |   -0.0848   |  30.31  
  23    |   -0.0133   |  32.36  
  34    |   -0.0676   |  33.40  
  45    |   0.0629    |  34.13  
  56    |   0.0629    |  34.73  
  67    |   0.0911    |  35.46  
  78    |   -0.0023   |  36.53  
  89    |   0.0064    |  38.59  
  100   |   0.0064    |  50.53  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.0306   |  23.99  
  12    |   0.0151    |  30.29  
  23    |   0.1262    |  32.31  
  34    |   0.1351    |  33.34  
  45    |   0.1262    |  34.07  
  56    |   0.1174    |  34.65  
  67    |   0.1174    |  35.37  
  78    |   0.0998    |  36.42  
  89    |   0.1174    |  38.41  
  100   |   0.1174    |  48.33  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0305    |  23.98  
  12    |   0.1996    |  30.25  
  23    |   0.2742    |  32.23  
  34    |   0.3130    |  33.24  
  45    |   0.2852    |  33.96  
  56    |   0.2952    |  34.53  
  67    |   0.2290    |  35.22  
  78    |   0.3130    |  36.23  
  89    |   0.2852    |  38.12  
  100   |   0.2852    |  46.05  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0875    |  23.97  
  12    |   0.3610    |  30.19  
  23    |   0.4095    |  32.13  
  34    |   0.4161    |  33.12  
  45    |   0.3886    |  33.83  
  56    |   0.4264    |  34.37  
  67    |   0.4161    |  35.04  
  78    |   0.4161    |  36.00  
  89    |   0.4264    |  37.77  
  100   |   0.4264    |  44.23  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2290    |  23.95  
  12    |   0.4749    |  30.11  
  23    |   0.4810    |  32.01  
  34    |   0.4585    |  32.97  
  45    |   0.4697    |  33.65  
  56    |   0.4697    |  34.16  
  67    |   0.5238    |  34.81  
  78    |   0.4697    |  35.71  
  89    |   0.4697    |  37.33  
  100   |   0.4697    |  42.56  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4161    |  23.92  
  12    |   0.5465    |  30.00  
  23    |   0.5850    |  31.86  
  34    |   0.5733    |  32.78  
  45    |   0.5969    |  33.41  
  56    |   0.5969    |  33.90  
  67    |   0.5969    |  34.51  
  78    |   0.5850    |  35.35  
  89    |   0.5850    |  36.81  
  100   |   0.5850    |  41.02  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4476    |  23.90  
  12    |   0.6346    |  29.88  
  23    |   0.6608    |  31.66  
  34    |   0.6608    |  32.53  
  45    |   0.6608    |  33.14  
  56    |   0.6608    |  33.59  
  67    |   0.6346    |  34.16  
  78    |   0.6608    |  34.92  
  89    |   0.6608    |  36.22  
  100   |   0.6608    |  39.62  


