# Gaussian Noise Analysis
# Date: 2025-05-20 21:24:08
# Parameters: Image=goldhill, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=2

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.7204    |   inf   
   5    |   0.5023    |  26.06  
  10    |   0.3989    |  20.26  
  15    |   0.3989    |  16.97  
  20    |   0.3762    |  14.75  
  25    |   0.3130    |  13.13  
  30    |   0.3333    |  11.90  
  35    |   0.2934    |  10.95  
  40    |   0.2742    |  10.21  
  45    |   0.1812    |   9.61  
  50    |   0.1632    |   9.12  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.8024    |   inf   
   5    |   0.7028    |  26.04  
  10    |   0.5859    |  20.25  
  15    |   0.5563    |  16.97  
  20    |   0.5286    |  14.75  
  25    |   0.4478    |  13.12  
  30    |   0.3762    |  11.90  
  35    |   0.3543    |  10.95  
  40    |   0.3333    |  10.21  
  45    |   0.2934    |   9.61  
  50    |   0.2742    |   9.12  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.8365    |   inf   
   5    |   0.8365    |  26.00  
  10    |   0.7028    |  20.24  
  15    |   0.5859    |  16.97  
  20    |   0.5859    |  14.74  
  25    |   0.5859    |  13.12  
  30    |   0.5563    |  11.90  
  35    |   0.5286    |  10.95  
  40    |   0.4538    |  10.21  
  45    |   0.4095    |   9.61  
  50    |   0.3543    |   9.12  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.9129    |   inf   
   5    |   0.8731    |  25.96  
  10    |   0.8731    |  20.23  
  15    |   0.7028    |  16.96  
  20    |   0.6176    |  14.74  
  25    |   0.6176    |  13.12  
  30    |   0.5563    |  11.90  
  35    |   0.5563    |  10.95  
  40    |   0.5286    |  10.21  
  45    |   0.5023    |   9.61  
  50    |   0.4775    |   9.12  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.9129    |   inf   
   5    |   0.9129    |  25.91  
  10    |   0.8731    |  20.22  
  15    |   0.7879    |  16.96  
  20    |   0.7028    |  14.74  
  25    |   0.6694    |  13.12  
  30    |   0.6694    |  11.90  
  35    |   0.5859    |  10.95  
  40    |   0.5563    |  10.21  
  45    |   0.5023    |   9.61  
  50    |   0.5023    |   9.12  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.9129    |   inf   
   5    |   0.9129    |  25.84  
  10    |   0.9129    |  20.20  
  15    |   0.9129    |  16.95  
  20    |   0.7388    |  14.74  
  25    |   0.7028    |  13.12  
  30    |   0.6694    |  11.90  
  35    |   0.6694    |  10.95  
  40    |   0.6384    |  10.21  
  45    |   0.6093    |   9.61  
  50    |   0.5023    |   9.12  


