# Gaussian Noise Analysis
# Date: 2025-05-20 22:02:34
# Parameters: Image=goldhill, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=4

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3114    |   inf   
   5    |   0.3303    |  26.07  
  10    |   0.3214    |  20.26  
  15    |   0.2844    |  16.97  
  20    |   0.2300    |  14.75  
  25    |   0.2194    |  13.12  
  30    |   0.2106    |  11.90  
  35    |   0.2106    |  10.95  
  40    |   0.1562    |  10.21  
  45    |   0.1562    |   9.61  
  50    |   0.1562    |   9.12  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4538    |   inf   
   5    |   0.3949    |  26.04  
  10    |   0.3671    |  20.25  
  15    |   0.3577    |  16.97  
  20    |   0.3577    |  14.75  
  25    |   0.2564    |  13.12  
  30    |   0.2564    |  11.90  
  35    |   0.2564    |  10.95  
  40    |   0.2475    |  10.21  
  45    |   0.2018    |   9.61  
  50    |   0.2300    |   9.12  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5398    |   inf   
   5    |   0.4983    |  26.02  
  10    |   0.4884    |  20.24  
  15    |   0.4610    |  16.97  
  20    |   0.3961    |  14.74  
  25    |   0.3577    |  13.12  
  30    |   0.3021    |  11.90  
  35    |   0.2835    |  10.95  
  40    |   0.2928    |  10.21  
  45    |   0.3114    |   9.61  
  50    |   0.2475    |   9.12  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5508    |   inf   
   5    |   0.5508    |  25.98  
  10    |   0.5292    |  20.24  
  15    |   0.4884    |  16.96  
  20    |   0.4787    |  14.74  
  25    |   0.5084    |  13.12  
  30    |   0.4236    |  11.90  
  35    |   0.3212    |  10.95  
  40    |   0.3394    |  10.21  
  45    |   0.3394    |   9.61  
  50    |   0.3206    |   9.12  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5969    |   inf   
   5    |   0.5850    |  25.93  
  10    |   0.5733    |  20.22  
  15    |   0.5292    |  16.96  
  20    |   0.5084    |  14.74  
  25    |   0.5398    |  13.12  
  30    |   0.5292    |  11.90  
  35    |   0.5084    |  10.95  
  40    |   0.3586    |  10.21  
  45    |   0.3394    |   9.61  
  50    |   0.3766    |   9.12  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6217    |   inf   
   5    |   0.6091    |  25.88  
  10    |   0.5969    |  20.21  
  15    |   0.6091    |  16.95  
  20    |   0.5733    |  14.74  
  25    |   0.5508    |  13.12  
  30    |   0.5668    |  11.90  
  35    |   0.5668    |  10.95  
  40    |   0.5084    |  10.21  
  45    |   0.4710    |   9.61  
  50    |   0.3961    |   9.12  


