# JPEG Quality Compression Analysis
# Date: 2025-05-21 01:40:03
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=8

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.0531   |  24.00  
  12    |   0.0366    |  30.32  
  23    |   0.0416    |  32.35  
  34    |   0.0628    |  33.40  
  45    |   0.1169    |  34.13  
  56    |   0.0948    |  34.73  
  67    |   0.0736    |  35.46  
  78    |   0.1003    |  36.53  
  89    |   0.0682    |  38.58  
  100   |   0.0682    |  50.41  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.1118   |  23.99  
  12    |   0.0866    |  30.29  
  23    |   0.0911    |  32.31  
  34    |   0.1788    |  33.33  
  45    |   0.1728    |  34.06  
  56    |   0.1574    |  34.64  
  67    |   0.2001    |  35.35  
  78    |   0.1574    |  36.40  
  89    |   0.1574    |  38.37  
  100   |   0.1574    |  47.94  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.0226   |  23.98  
  12    |   0.1445    |  30.23  
  23    |   0.1818    |  32.21  
  34    |   0.1540    |  33.21  
  45    |   0.2335    |  33.91  
  56    |   0.1791    |  34.48  
  67    |   0.2034    |  35.17  
  78    |   0.1664    |  36.16  
  89    |   0.1727    |  38.01  
  100   |   0.1727    |  45.40  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0203    |  23.96  
  12    |   0.1835    |  30.15  
  23    |   0.2075    |  32.09  
  34    |   0.1791    |  33.07  
  45    |   0.1856    |  33.75  
  56    |   0.2426    |  34.29  
  67    |   0.2358    |  34.95  
  78    |   0.1922    |  35.88  
  89    |   0.2358    |  37.59  
  100   |   0.1922    |  43.50  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1764    |  23.94  
  12    |   0.3871    |  30.02  
  23    |   0.2057    |  31.94  
  34    |   0.2708    |  32.86  
  45    |   0.3214    |  33.52  
  56    |   0.3289    |  34.01  
  67    |   0.3214    |  34.64  
  78    |   0.2998    |  35.50  
  89    |   0.3289    |  37.03  
  100   |   0.3289    |  41.63  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2440    |  23.92  
  12    |   0.3820    |  29.94  
  23    |   0.3073    |  31.77  
  34    |   0.4243    |  32.66  
  45    |   0.3715    |  33.28  
  56    |   0.3951    |  33.76  
  67    |   0.4452    |  34.33  
  78    |   0.4081    |  35.14  
  89    |   0.4116    |  36.53  
  100   |   0.4081    |  40.32  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3702    |  23.89  
  12    |   0.4868    |  29.79  
  23    |   0.5095    |  31.57  
  34    |   0.5004    |  32.40  
  45    |   0.5300    |  32.97  
  56    |   0.4888    |  33.41  
  67    |   0.4888    |  33.95  
  78    |   0.5004    |  34.68  
  89    |   0.4888    |  35.91  
  100   |   0.4888    |  38.95  


