# JPEG Quality Compression Analysis
# Date: 2025-05-21 08:55:32
# Parameters: Image=goldhill, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=16

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0697    |  24.10  
  12    |   0.0502    |  30.10  
  23    |   0.0369    |  32.37  
  34    |   0.0394    |  33.71  
  45    |   0.0139    |  34.67  
  56    |   0.0778    |  35.44  
  67    |   0.0305    |  36.37  
  78    |   0.0448    |  37.76  
  89    |   0.0359    |  40.37  
  100   |   0.0448    |  50.37  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0920    |  24.09  
  12    |   0.1524    |  30.08  
  23    |   0.1051    |  32.32  
  34    |   0.1095    |  33.64  
  45    |   0.1619    |  34.60  
  56    |   0.1238    |  35.35  
  67    |   0.0575    |  36.26  
  78    |   0.0862    |  37.61  
  89    |   0.0811    |  40.09  
  100   |   0.0811    |  48.20  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1432    |  24.07  
  12    |   0.2056    |  30.02  
  23    |   0.1527    |  32.23  
  34    |   0.1720    |  33.52  
  45    |   0.2106    |  34.43  
  56    |   0.1863    |  35.17  
  67    |   0.0995    |  36.03  
  78    |   0.1238    |  37.30  
  89    |   0.1238    |  39.56  
  100   |   0.1238    |  45.54  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2510    |  24.05  
  12    |   0.3149    |  29.95  
  23    |   0.2526    |  32.12  
  34    |   0.2249    |  33.37  
  45    |   0.2418    |  34.23  
  56    |   0.3289    |  34.94  
  67    |   0.2312    |  35.76  
  78    |   0.2293    |  36.94  
  89    |   0.2222    |  38.95  
  100   |   0.2293    |  43.52  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2762    |  24.03  
  12    |   0.3690    |  29.86  
  23    |   0.3484    |  31.99  
  34    |   0.3712    |  33.19  
  45    |   0.4150    |  34.01  
  56    |   0.4186    |  34.69  
  67    |   0.3736    |  35.46  
  78    |   0.3679    |  36.55  
  89    |   0.3989    |  38.35  
  100   |   0.3793    |  41.99  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3194    |  24.01  
  12    |   0.4812    |  29.75  
  23    |   0.5222    |  31.81  
  34    |   0.5555    |  32.95  
  45    |   0.5688    |  33.75  
  56    |   0.5353    |  34.37  
  67    |   0.5023    |  35.07  
  78    |   0.5287    |  36.07  
  89    |   0.5095    |  37.64  
  100   |   0.5287    |  40.50  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4065    |  23.97  
  12    |   0.5916    |  29.60  
  23    |   0.6555    |  31.57  
  34    |   0.6643    |  32.67  
  45    |   0.6827    |  33.39  
  56    |   0.6439    |  33.97  
  67    |   0.6295    |  34.60  
  78    |   0.6626    |  35.48  
  89    |   0.6295    |  36.83  
  100   |   0.6295    |  39.04  


