# JPEG Quality Compression Analysis
# Date: 2025-05-20 23:14:02
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=8

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0889    |  24.00  
  12    |   0.1044    |  30.31  
  23    |   0.1044    |  32.35  
  34    |   0.1207    |  33.39  
  45    |   0.0940    |  34.12  
  56    |   0.1150    |  34.71  
  67    |   0.1046    |  35.44  
  78    |   0.0940    |  36.51  
  89    |   0.1046    |  38.55  
  100   |   0.0993    |  49.94  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1370    |  23.99  
  12    |   0.1525    |  30.29  
  23    |   0.2013    |  32.30  
  34    |   0.2070    |  33.33  
  45    |   0.2070    |  34.06  
  56    |   0.2070    |  34.64  
  67    |   0.2070    |  35.35  
  78    |   0.2013    |  36.40  
  89    |   0.2070    |  38.37  
  100   |   0.2070    |  47.93  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1803    |  23.98  
  12    |   0.2127    |  30.25  
  23    |   0.2572    |  32.22  
  34    |   0.2572    |  33.24  
  45    |   0.2633    |  33.94  
  56    |   0.2303    |  34.50  
  67    |   0.2363    |  35.19  
  78    |   0.2363    |  36.20  
  89    |   0.2363    |  38.07  
  100   |   0.2363    |  45.74  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2633    |  23.96  
  12    |   0.3363    |  30.17  
  23    |   0.3697    |  32.10  
  34    |   0.3155    |  33.07  
  45    |   0.4118    |  33.77  
  56    |   0.3010    |  34.30  
  67    |   0.3629    |  34.97  
  78    |   0.3561    |  35.91  
  89    |   0.3629    |  37.63  
  100   |   0.3629    |  43.62  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3235    |  23.94  
  12    |   0.4677    |  30.07  
  23    |   0.5068    |  31.95  
  34    |   0.4602    |  32.89  
  45    |   0.4703    |  33.55  
  56    |   0.4548    |  34.05  
  67    |   0.4703    |  34.67  
  78    |   0.5112    |  35.55  
  89    |   0.4548    |  37.10  
  100   |   0.4753    |  41.83  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4114    |  23.90  
  12    |   0.5615    |  29.95  
  23    |   0.6214    |  31.79  
  34    |   0.5928    |  32.71  
  45    |   0.5615    |  33.32  
  56    |   0.5440    |  33.80  
  67    |   0.5440    |  34.39  
  78    |   0.5615    |  35.20  
  89    |   0.5440    |  36.63  
  100   |   0.5615    |  40.54  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4602    |  23.87  
  12    |   0.6188    |  29.80  
  23    |   0.6188    |  31.57  
  34    |   0.6394    |  32.44  
  45    |   0.5797    |  33.03  
  56    |   0.5705    |  33.47  
  67    |   0.5906    |  34.01  
  78    |   0.5797    |  34.74  
  89    |   0.5797    |  36.00  
  100   |   0.5797    |  39.13  


