# Gaussian Noise Analysis
# Date: 2025-05-21 15:56:01
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=16

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2897    |   inf   
   5    |   0.2889    |  26.01  
  10    |   0.2749    |  20.10  
  15    |   0.2106    |  16.77  
  20    |   0.2018    |  14.53  
  25    |   0.1499    |  12.92  
  30    |   0.1411    |  11.72  
  35    |   0.1139    |  10.81  
  40    |   0.0793    |  10.09  
  45    |   0.1132    |   9.53  
  50    |   0.1146    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3438    |   inf   
   5    |   0.3577    |  25.99  
  10    |   0.3718    |  20.09  
  15    |   0.3439    |  16.77  
  20    |   0.2239    |  14.53  
  25    |   0.2062    |  12.92  
  30    |   0.1825    |  11.72  
  35    |   0.1844    |  10.80  
  40    |   0.1758    |  10.09  
  45    |   0.1459    |   9.53  
  50    |   0.1686    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3912    |   inf   
   5    |   0.4325    |  25.96  
  10    |   0.4320    |  20.09  
  15    |   0.4134    |  16.77  
  20    |   0.3718    |  14.53  
  25    |   0.2794    |  12.92  
  30    |   0.2431    |  11.72  
  35    |   0.1931    |  10.80  
  40    |   0.1758    |  10.09  
  45    |   0.1587    |   9.53  
  50    |   0.1587    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4779    |   inf   
   5    |   0.4522    |  25.92  
  10    |   0.4560    |  20.08  
  15    |   0.4560    |  16.76  
  20    |   0.4134    |  14.53  
  25    |   0.3809    |  12.92  
  30    |   0.2889    |  11.72  
  35    |   0.2159    |  10.80  
  40    |   0.1931    |  10.09  
  45    |   0.1801    |   9.53  
  50    |   0.1587    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4831    |   inf   
   5    |   0.4938    |  25.88  
  10    |   0.4863    |  20.07  
  15    |   0.4710    |  16.76  
  20    |   0.4472    |  14.53  
  25    |   0.4181    |  12.92  
  30    |   0.3533    |  11.72  
  35    |   0.3214    |  10.80  
  40    |   0.2616    |  10.09  
  45    |   0.2106    |   9.53  
  50    |   0.1931    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5765    |   inf   
   5    |   0.5048    |  25.82  
  10    |   0.5408    |  20.05  
  15    |   0.4915    |  16.75  
  20    |   0.4811    |  14.52  
  25    |   0.4760    |  12.91  
  30    |   0.4335    |  11.72  
  35    |   0.4043    |  10.80  
  40    |   0.3949    |  10.09  
  45    |   0.3160    |   9.52  
  50    |   0.2704    |   9.07  


