# JPEG Quality Compression Analysis
# Date: 2025-05-21 18:04:45
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=16

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0664    |  24.09  
  12    |   0.1107    |  30.10  
  23    |   0.1660    |  32.36  
  34    |   0.1519    |  33.70  
  45    |   0.1389    |  34.67  
  56    |   0.2354    |  35.43  
  67    |   0.1844    |  36.37  
  78    |   0.2029    |  37.74  
  89    |   0.1986    |  40.33  
  100   |   0.1986    |  50.02  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1119    |  24.09  
  12    |   0.1729    |  30.06  
  23    |   0.2853    |  32.31  
  34    |   0.2528    |  33.64  
  45    |   0.1888    |  34.58  
  56    |   0.2343    |  35.33  
  67    |   0.2159    |  36.23  
  78    |   0.2582    |  37.58  
  89    |   0.2159    |  40.03  
  100   |   0.2115    |  47.78  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1475    |  24.07  
  12    |   0.3346    |  30.00  
  23    |   0.3908    |  32.20  
  34    |   0.3443    |  33.49  
  45    |   0.3718    |  34.41  
  56    |   0.3855    |  35.11  
  67    |   0.3673    |  35.98  
  78    |   0.3768    |  37.23  
  89    |   0.3533    |  39.44  
  100   |   0.3628    |  45.07  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2424    |  24.05  
  12    |   0.3763    |  29.94  
  23    |   0.4505    |  32.10  
  34    |   0.4553    |  33.35  
  45    |   0.4091    |  34.24  
  56    |   0.4550    |  34.94  
  67    |   0.4134    |  35.74  
  78    |   0.4691    |  36.91  
  89    |   0.4601    |  38.92  
  100   |   0.4691    |  43.41  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3208    |  24.03  
  12    |   0.4560    |  29.85  
  23    |   0.5084    |  31.96  
  34    |   0.5407    |  33.14  
  45    |   0.5306    |  33.98  
  56    |   0.5510    |  34.64  
  67    |   0.5207    |  35.39  
  78    |   0.5323    |  36.45  
  89    |   0.5220    |  38.21  
  100   |   0.5407    |  41.66  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3725    |  23.98  
  12    |   0.5733    |  29.74  
  23    |   0.6266    |  31.76  
  34    |   0.6021    |  32.89  
  45    |   0.6399    |  33.68  
  56    |   0.6179    |  34.27  
  67    |   0.6288    |  34.97  
  78    |   0.6233    |  35.93  
  89    |   0.6233    |  37.45  
  100   |   0.6233    |  40.13  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4161    |  23.95  
  12    |   0.6439    |  29.60  
  23    |   0.6750    |  31.56  
  34    |   0.6571    |  32.61  
  45    |   0.6704    |  33.35  
  56    |   0.6836    |  33.91  
  67    |   0.6456    |  34.53  
  78    |   0.6456    |  35.39  
  89    |   0.6456    |  36.71  
  100   |   0.6456    |  38.84  


