# Gaussian Noise Analysis
# Date: 2025-05-21 03:12:16
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=8

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1463    |   inf   
   5    |   0.1097    |  26.05  
  10    |   0.0940    |  20.24  
  15    |   0.0310    |  16.96  
  20    |   0.0679    |  14.73  
  25    |   0.0786    |  13.11  
  30    |   0.0786    |  11.89  
  35    |   0.0521    |  10.94  
  40    |   0.0415    |  10.19  
  45    |   0.0047    |   9.60  
  50    |   0.0204    |   9.11  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2318    |   inf   
   5    |   0.1900    |  26.03  
  10    |   0.1691    |  20.23  
  15    |   0.1707    |  16.95  
  20    |   0.1325    |  14.73  
  25    |   0.1270    |  13.11  
  30    |   0.0948    |  11.89  
  35    |   0.0894    |  10.94  
  40    |   0.0574    |  10.19  
  45    |   0.0574    |   9.60  
  50    |   0.0470    |   9.11  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3464    |   inf   
   5    |   0.2842    |  26.00  
  10    |   0.2484    |  20.23  
  15    |   0.2212    |  16.95  
  20    |   0.1881    |  14.73  
  25    |   0.1728    |  13.11  
  30    |   0.1611    |  11.89  
  35    |   0.1515    |  10.94  
  40    |   0.1169    |  10.19  
  45    |   0.1058    |   9.60  
  50    |   0.1114    |   9.11  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4385    |   inf   
   5    |   0.3570    |  25.96  
  10    |   0.3286    |  20.22  
  15    |   0.2881    |  16.95  
  20    |   0.2608    |  14.73  
  25    |   0.2460    |  13.11  
  30    |   0.2097    |  11.89  
  35    |   0.1971    |  10.94  
  40    |   0.1848    |  10.19  
  45    |   0.1553    |   9.60  
  50    |   0.1283    |   9.11  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4956    |   inf   
   5    |   0.5033    |  25.92  
  10    |   0.3925    |  20.21  
  15    |   0.3491    |  16.94  
  20    |   0.3279    |  14.72  
  25    |   0.2932    |  13.11  
  30    |   0.2506    |  11.89  
  35    |   0.2161    |  10.94  
  40    |   0.1909    |  10.19  
  45    |   0.1909    |   9.60  
  50    |   0.1669    |   9.11  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5394    |   inf   
   5    |   0.5356    |  25.86  
  10    |   0.5209    |  20.19  
  15    |   0.4243    |  16.94  
  20    |   0.3951    |  14.72  
  25    |   0.3715    |  13.11  
  30    |   0.2925    |  11.88  
  35    |   0.2781    |  10.94  
  40    |   0.2641    |  10.19  
  45    |   0.2097    |   9.59  
  50    |   0.2161    |   9.11  


