# JPEG Quality Compression Analysis
# Date: 2025-05-21 02:40:19
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=8

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0311    |  24.10  
  12    |   0.1202    |  30.10  
  23    |   0.0784    |  32.37  
  34    |   0.1307    |  33.71  
  45    |   0.1307    |  34.68  
  56    |   0.1204    |  35.44  
  67    |   0.1204    |  36.38  
  78    |   0.1204    |  37.77  
  89    |   0.1204    |  40.37  
  100   |   0.1204    |  50.41  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1153    |  24.09  
  12    |   0.1835    |  30.07  
  23    |   0.1674    |  32.31  
  34    |   0.1830    |  33.63  
  45    |   0.1725    |  34.58  
  56    |   0.1673    |  35.35  
  67    |   0.1725    |  36.25  
  78    |   0.1516    |  37.59  
  89    |   0.1463    |  40.06  
  100   |   0.1463    |  47.94  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2222    |  24.07  
  12    |   0.2811    |  30.01  
  23    |   0.2279    |  32.23  
  34    |   0.2374    |  33.51  
  45    |   0.2526    |  34.42  
  56    |   0.2374    |  35.16  
  67    |   0.2318    |  36.01  
  78    |   0.2318    |  37.28  
  89    |   0.2262    |  39.53  
  100   |   0.2318    |  45.39  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2662    |  24.05  
  12    |   0.3344    |  29.95  
  23    |   0.2965    |  32.11  
  34    |   0.3344    |  33.36  
  45    |   0.3777    |  34.23  
  56    |   0.3464    |  34.95  
  67    |   0.3344    |  35.75  
  78    |   0.3464    |  36.92  
  89    |   0.3464    |  38.95  
  100   |   0.3464    |  43.50  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3318    |  24.03  
  12    |   0.4408    |  29.84  
  23    |   0.4318    |  31.94  
  34    |   0.4589    |  33.15  
  45    |   0.4589    |  33.97  
  56    |   0.4253    |  34.63  
  67    |   0.3908    |  35.37  
  78    |   0.4318    |  36.43  
  89    |   0.4188    |  38.20  
  100   |   0.4385    |  41.64  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3842    |  24.00  
  12    |   0.5068    |  29.74  
  23    |   0.4956    |  31.79  
  34    |   0.5112    |  32.92  
  45    |   0.5112    |  33.73  
  56    |   0.5112    |  34.33  
  67    |   0.5314    |  35.03  
  78    |   0.5112    |  36.00  
  89    |   0.5033    |  37.56  
  100   |   0.5112    |  40.33  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4725    |  23.96  
  12    |   0.5595    |  29.60  
  23    |   0.5356    |  31.59  
  34    |   0.5475    |  32.64  
  45    |   0.5475    |  33.38  
  56    |   0.5475    |  33.94  
  67    |   0.5475    |  34.58  
  78    |   0.5475    |  35.45  
  89    |   0.5394    |  36.78  
  100   |   0.5475    |  38.95  


