# JPEG Quality Compression Analysis
# Date: 2025-05-20 21:22:54
# Parameters: Image=goldhill, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=2

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1249    |  24.09  
  12    |   0.2934    |  30.09  
  23    |   0.2985    |  32.35  
  34    |   0.2775    |  33.70  
  45    |   0.1432    |  34.65  
  56    |   0.2775    |  35.43  
  67    |   0.2208    |  36.35  
  78    |   0.1633    |  37.73  
  89    |   0.2208    |  40.30  
  100   |   0.2208    |  49.73  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4743    |  24.08  
  12    |   0.5023    |  30.05  
  23    |   0.6093    |  32.30  
  34    |   0.6900    |  33.61  
  45    |   0.7132    |  34.53  
  56    |   0.6900    |  35.29  
  67    |   0.6694    |  36.18  
  78    |   0.7708    |  37.50  
  89    |   0.7204    |  39.90  
  100   |   0.7204    |  47.05  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5859    |  24.06  
  12    |   0.7708    |  29.98  
  23    |   0.8024    |  32.18  
  34    |   0.8365    |  33.46  
  45    |   0.8365    |  34.33  
  56    |   0.8365    |  35.07  
  67    |   0.8024    |  35.91  
  78    |   0.7708    |  37.13  
  89    |   0.8024    |  39.28  
  100   |   0.8024    |  44.50  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5859    |  24.04  
  12    |   0.8024    |  29.90  
  23    |   0.8731    |  32.04  
  34    |   0.8365    |  33.29  
  45    |   0.8365    |  34.15  
  56    |   0.8365    |  34.84  
  67    |   0.8365    |  35.64  
  78    |   0.8365    |  36.77  
  89    |   0.8365    |  38.70  
  100   |   0.8365    |  42.81  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.8365    |  24.00  
  12    |   0.9129    |  29.80  
  23    |   0.9129    |  31.85  
  34    |   0.9129    |  33.01  
  45    |   0.9129    |  33.83  
  56    |   0.9129    |  34.45  
  67    |   0.9129    |  35.16  
  78    |   0.9129    |  36.18  
  89    |   0.9129    |  37.81  
  100   |   0.9129    |  40.82  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.9583    |  23.97  
  12    |   0.9583    |  29.65  
  23    |   0.9129    |  31.62  
  34    |   0.9129    |  32.71  
  45    |   0.9129    |  33.45  
  56    |   0.9129    |  34.01  
  67    |   0.9129    |  34.66  
  78    |   0.9129    |  35.54  
  89    |   0.9129    |  36.91  
  100   |   0.9129    |  39.17  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.9129    |  23.93  
  12    |   0.9583    |  29.53  
  23    |   0.9129    |  31.39  
  34    |   0.9129    |  32.45  
  45    |   0.9129    |  33.15  
  56    |   0.9129    |  33.69  
  67    |   0.9129    |  34.26  
  78    |   0.9129    |  35.06  
  89    |   0.9129    |  36.27  
  100   |   0.9129    |  38.15  


