# JPEG Quality Compression Analysis
# Date: 2025-05-20 21:20:53
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=2

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3673    |  24.00  
  12    |   0.4983    |  30.30  
  23    |   0.6154    |  32.35  
  34    |   0.5619    |  33.38  
  45    |   0.5730    |  34.12  
  56    |   0.6154    |  34.70  
  67    |   0.5938    |  35.43  
  78    |   0.5938    |  36.50  
  89    |   0.5938    |  38.53  
  100   |   0.5938    |  49.74  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4596    |  23.99  
  12    |   0.7387    |  30.26  
  23    |   0.7645    |  32.28  
  34    |   0.7708    |  33.30  
  45    |   0.7411    |  34.02  
  56    |   0.7132    |  34.59  
  67    |   0.7132    |  35.29  
  78    |   0.7132    |  36.33  
  89    |   0.7132    |  38.26  
  100   |   0.7132    |  47.06  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5398    |  23.97  
  12    |   0.8207    |  30.18  
  23    |   0.8207    |  32.16  
  34    |   0.8207    |  33.15  
  45    |   0.8207    |  33.85  
  56    |   0.8207    |  34.40  
  67    |   0.8515    |  35.07  
  78    |   0.8207    |  36.04  
  89    |   0.8207    |  37.82  
  100   |   0.8207    |  44.51  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.6154    |  23.96  
  12    |   0.8207    |  30.10  
  23    |   0.8515    |  32.04  
  34    |   0.8515    |  33.02  
  45    |   0.8515    |  33.68  
  56    |   0.8515    |  34.20  
  67    |   0.8515    |  34.84  
  78    |   0.8515    |  35.76  
  89    |   0.8515    |  37.40  
  100   |   0.8515    |  42.82  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.6868    |  23.92  
  12    |   0.9200    |  29.99  
  23    |   0.9583    |  31.85  
  34    |   0.9583    |  32.75  
  45    |   1.0000    |  33.37  
  56    |   0.9583    |  33.87  
  67    |   0.9583    |  34.47  
  78    |   1.0000    |  35.29  
  89    |   1.0000    |  36.73  
  100   |   1.0000    |  40.83  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.7411    |  23.88  
  12    |   1.0000    |  29.82  
  23    |   1.0000    |  31.60  
  34    |   1.0000    |  32.44  
  45    |   1.0000    |  33.02  
  56    |   1.0000    |  33.48  
  67    |   1.0000    |  34.02  
  78    |   1.0000    |  34.76  
  89    |   1.0000    |  36.01  
  100   |   1.0000    |  39.17  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.8207    |  23.86  
  12    |   1.0000    |  29.68  
  23    |   1.0000    |  31.40  
  34    |   1.0000    |  32.21  
  45    |   1.0000    |  32.76  
  56    |   1.0000    |  33.18  
  67    |   1.0000    |  33.68  
  78    |   1.0000    |  34.36  
  89    |   1.0000    |  35.48  
  100   |   1.0000    |  38.15  


