# Gaussian Noise Analysis
# Date: 2025-05-20 21:22:11
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=2

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.7132    |   inf   
   5    |   0.7411    |  26.02  
  10    |   0.6868    |  20.11  
  15    |   0.6618    |  16.78  
  20    |   0.5398    |  14.54  
  25    |   0.5187    |  12.93  
  30    |   0.4642    |  11.73  
  35    |   0.4436    |  10.81  
  40    |   0.4436    |  10.09  
  45    |   0.4043    |   9.53  
  50    |   0.3489    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.8207    |   inf   
   5    |   0.7708    |  25.99  
  10    |   0.7708    |  20.10  
  15    |   0.7132    |  16.78  
  20    |   0.6868    |  14.54  
  25    |   0.6091    |  12.93  
  30    |   0.5619    |  11.73  
  35    |   0.5398    |  10.81  
  40    |   0.4857    |  10.09  
  45    |   0.4857    |   9.53  
  50    |   0.4236    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.8515    |   inf   
   5    |   0.8207    |  25.96  
  10    |   0.7708    |  20.09  
  15    |   0.8024    |  16.78  
  20    |   0.7708    |  14.54  
  25    |   0.6900    |  12.93  
  30    |   0.6615    |  11.73  
  35    |   0.6346    |  10.81  
  40    |   0.5619    |  10.09  
  45    |   0.4857    |   9.53  
  50    |   0.4857    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   1.0000    |   inf   
   5    |   0.9200    |  25.91  
  10    |   0.8731    |  20.08  
  15    |   0.8731    |  16.77  
  20    |   0.8731    |  14.54  
  25    |   0.7708    |  12.93  
  30    |   0.7204    |  11.73  
  35    |   0.6900    |  10.81  
  40    |   0.6615    |  10.09  
  45    |   0.5850    |   9.53  
  50    |   0.5315    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   1.0000    |   inf   
   5    |   1.0000    |  25.86  
  10    |   0.9583    |  20.07  
  15    |   0.8731    |  16.77  
  20    |   0.8731    |  14.54  
  25    |   0.8731    |  12.93  
  30    |   0.7204    |  11.73  
  35    |   0.7204    |  10.81  
  40    |   0.6900    |  10.09  
  45    |   0.6346    |   9.53  
  50    |   0.5850    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   1.0000    |   inf   
   5    |   1.0000    |  25.79  
  10    |   0.9583    |  20.05  
  15    |   0.9583    |  16.76  
  20    |   0.8731    |  14.53  
  25    |   0.8731    |  12.92  
  30    |   0.8365    |  11.72  
  35    |   0.7529    |  10.81  
  40    |   0.7204    |  10.09  
  45    |   0.6900    |   9.53  
  50    |   0.6346    |   9.07  


