# JPEG Quality Compression Analysis
# Date: 2025-05-21 14:05:04
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=16

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0292    |  24.00  
  12    |   0.1270    |  30.31  
  23    |   0.1931    |  32.36  
  34    |   0.1834    |  33.39  
  45    |   0.1552    |  34.13  
  56    |   0.1825    |  34.72  
  67    |   0.2018    |  35.44  
  78    |   0.1877    |  36.52  
  89    |   0.1737    |  38.56  
  100   |   0.1877    |  50.04  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0891    |  24.00  
  12    |   0.2978    |  30.28  
  23    |   0.2387    |  32.31  
  34    |   0.2897    |  33.33  
  45    |   0.2810    |  34.06  
  56    |   0.2897    |  34.63  
  67    |   0.2941    |  35.34  
  78    |   0.2941    |  36.39  
  89    |   0.2897    |  38.36  
  100   |   0.2897    |  47.79  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0814    |  23.98  
  12    |   0.3206    |  30.21  
  23    |   0.3160    |  32.20  
  34    |   0.3206    |  33.19  
  45    |   0.3580    |  33.89  
  56    |   0.3392    |  34.45  
  67    |   0.3438    |  35.14  
  78    |   0.3438    |  36.12  
  89    |   0.3438    |  37.95  
  100   |   0.3438    |  45.07  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1596    |  23.97  
  12    |   0.3546    |  30.14  
  23    |   0.3538    |  32.08  
  34    |   0.3676    |  33.06  
  45    |   0.3766    |  33.74  
  56    |   0.3719    |  34.28  
  67    |   0.4277    |  34.95  
  78    |   0.3912    |  35.87  
  89    |   0.4091    |  37.57  
  100   |   0.4091    |  43.42  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2556    |  23.93  
  12    |   0.3886    |  30.03  
  23    |   0.4369    |  31.93  
  34    |   0.4264    |  32.88  
  45    |   0.4506    |  33.51  
  56    |   0.4506    |  34.02  
  67    |   0.4779    |  34.64  
  78    |   0.4506    |  35.51  
  89    |   0.4779    |  37.04  
  100   |   0.4506    |  41.66  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.4727    |  23.89  
  12    |   0.4453    |  29.91  
  23    |   0.4803    |  31.73  
  34    |   0.4938    |  32.63  
  45    |   0.4831    |  33.25  
  56    |   0.4779    |  33.72  
  67    |   0.4749    |  34.29  
  78    |   0.4831    |  35.08  
  89    |   0.4885    |  36.45  
  100   |   0.4885    |  40.13  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5103    |  23.86  
  12    |   0.5216    |  29.78  
  23    |   0.5570    |  31.52  
  34    |   0.5757    |  32.37  
  45    |   0.5765    |  32.96  
  56    |   0.5765    |  33.40  
  67    |   0.5570    |  33.91  
  78    |   0.5765    |  34.64  
  89    |   0.5570    |  35.85  
  100   |   0.5765    |  38.84  


