# Gaussian Noise Analysis
# Date: 2025-05-20 21:28:39
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=2

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5850    |   inf   
   5    |   0.5560    |  26.05  
  10    |   0.4478    |  20.24  
  15    |   0.3762    |  16.96  
  20    |   0.3762    |  14.73  
  25    |   0.3333    |  13.11  
  30    |   0.2775    |  11.89  
  35    |   0.2571    |  10.94  
  40    |   0.2183    |  10.19  
  45    |   0.2183    |   9.60  
  50    |   0.2183    |   9.11  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6615    |   inf   
   5    |   0.6346    |  26.02  
  10    |   0.5859    |  20.23  
  15    |   0.5859    |  16.95  
  20    |   0.4228    |  14.73  
  25    |   0.3989    |  13.11  
  30    |   0.3543    |  11.89  
  35    |   0.3204    |  10.94  
  40    |   0.3204    |  10.19  
  45    |   0.2775    |   9.60  
  50    |   0.2775    |   9.11  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6900    |   inf   
   5    |   0.7529    |  25.99  
  10    |   0.7529    |  20.23  
  15    |   0.6517    |  16.95  
  20    |   0.6176    |  14.73  
  25    |   0.5563    |  13.11  
  30    |   0.5286    |  11.89  
  35    |   0.4228    |  10.94  
  40    |   0.3432    |  10.19  
  45    |   0.3432    |   9.60  
  50    |   0.2985    |   9.11  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.8365    |   inf   
   5    |   0.8259    |  25.95  
  10    |   0.8259    |  20.22  
  15    |   0.7388    |  16.95  
  20    |   0.6517    |  14.73  
  25    |   0.5859    |  13.11  
  30    |   0.5563    |  11.89  
  35    |   0.5286    |  10.94  
  40    |   0.5023    |  10.19  
  45    |   0.3922    |   9.60  
  50    |   0.3671    |   9.11  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   1.0000    |   inf   
   5    |   0.9583    |  25.90  
  10    |   0.8731    |  20.20  
  15    |   0.8731    |  16.94  
  20    |   0.6887    |  14.72  
  25    |   0.6887    |  13.11  
  30    |   0.6384    |  11.89  
  35    |   0.6384    |  10.94  
  40    |   0.5560    |  10.19  
  45    |   0.5560    |   9.60  
  50    |   0.5560    |   9.11  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   1.0000    |   inf   
   5    |   1.0000    |  25.85  
  10    |   0.9583    |  20.19  
  15    |   0.9129    |  16.94  
  20    |   0.8365    |  14.72  
  25    |   0.7388    |  13.11  
  30    |   0.7388    |  11.89  
  35    |   0.6384    |  10.94  
  40    |   0.6384    |  10.19  
  45    |   0.5819    |   9.60  
  50    |   0.5560    |   9.11  


