# Gaussian Noise Analysis
# Date: 2025-05-20 21:45:14
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=4

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.0716    |   inf   
   5    |   0.0346    |  26.02  
  10    |   0.0086    |  20.11  
  15    |   0.0651    |  16.78  
  20    |   0.0762    |  14.54  
  25    |   0.0110    |  12.93  
  30    |   0.0196    |  11.73  
  35    |   0.0196    |  10.81  
  40    |   0.0196    |  10.09  
  45    |   0.0173    |   9.53  
  50    |   0.0260    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2463    |   inf   
   5    |   0.2463    |  26.00  
  10    |   0.1914    |  20.10  
  15    |   0.2018    |  16.78  
  20    |   0.1649    |  14.54  
  25    |   0.1562    |  12.93  
  30    |   0.1280    |  11.73  
  35    |   0.1193    |  10.81  
  40    |   0.1193    |  10.09  
  45    |   0.1367    |   9.53  
  50    |   0.0911    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3055    |   inf   
   5    |   0.3610    |  25.97  
  10    |   0.2837    |  20.10  
  15    |   0.2464    |  16.78  
  20    |   0.2018    |  14.54  
  25    |   0.1737    |  12.93  
  30    |   0.1737    |  11.73  
  35    |   0.1825    |  10.81  
  40    |   0.1722    |  10.09  
  45    |   0.1544    |   9.53  
  50    |   0.1737    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4655    |   inf   
   5    |   0.4775    |  25.93  
  10    |   0.4655    |  20.09  
  15    |   0.4264    |  16.77  
  20    |   0.2653    |  14.54  
  25    |   0.2756    |  12.93  
  30    |   0.2475    |  11.73  
  35    |   0.2744    |  10.81  
  40    |   0.2835    |  10.09  
  45    |   0.3114    |   9.53  
  50    |   0.2653    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4898    |   inf   
   5    |   0.4898    |  25.89  
  10    |   0.5560    |  20.08  
  15    |   0.5969    |  16.77  
  20    |   0.5850    |  14.54  
  25    |   0.4139    |  12.93  
  30    |   0.3949    |  11.73  
  35    |   0.3671    |  10.81  
  40    |   0.3577    |  10.09  
  45    |   0.3485    |   9.53  
  50    |   0.3114    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5954    |   inf   
   5    |   0.5688    |  25.83  
  10    |   0.6479    |  20.06  
  15    |   0.6346    |  16.76  
  20    |   0.6217    |  14.53  
  25    |   0.6091    |  12.92  
  30    |   0.4436    |  11.72  
  35    |   0.4139    |  10.81  
  40    |   0.3671    |  10.09  
  45    |   0.3577    |   9.53  
  50    |   0.3485    |   9.07  


