# Gaussian Noise Analysis
# Date: 2025-05-20 22:43:07
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=4

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1069    |   inf   
   5    |   0.0786    |  26.05  
  10    |   0.1622    |  20.24  
  15    |   0.1531    |  16.96  
  20    |   0.1262    |  14.73  
  25    |   0.1280    |  13.11  
  30    |   0.0716    |  11.89  
  35    |   0.0629    |  10.94  
  40    |   0.0521    |  10.19  
  45    |   0.0697    |   9.60  
  50    |   0.0697    |   9.11  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2928    |   inf   
   5    |   0.2928    |  26.03  
  10    |   0.2463    |  20.23  
  15    |   0.1807    |  16.95  
  20    |   0.2374    |  14.73  
  25    |   0.2183    |  13.11  
  30    |   0.1618    |  11.89  
  35    |   0.1340    |  10.94  
  40    |   0.1340    |  10.19  
  45    |   0.0875    |   9.60  
  50    |   0.0697    |   9.11  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4436    |   inf   
   5    |   0.4610    |  26.01  
  10    |   0.3820    |  20.23  
  15    |   0.3231    |  16.95  
  20    |   0.2852    |  14.73  
  25    |   0.2752    |  13.11  
  30    |   0.2183    |  11.89  
  35    |   0.1432    |  10.94  
  40    |   0.1340    |  10.19  
  45    |   0.1340    |   9.60  
  50    |   0.0875    |   9.11  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5776    |   inf   
   5    |   0.5668    |  25.98  
  10    |   0.5398    |  20.22  
  15    |   0.4095    |  16.95  
  20    |   0.3714    |  14.73  
  25    |   0.2852    |  13.11  
  30    |   0.2655    |  11.89  
  35    |   0.2655    |  10.94  
  40    |   0.1807    |  10.19  
  45    |   0.1432    |   9.60  
  50    |   0.1148    |   9.11  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6116    |   inf   
   5    |   0.6000    |  25.94  
  10    |   0.6000    |  20.21  
  15    |   0.5887    |  16.94  
  20    |   0.4203    |  14.72  
  25    |   0.3820    |  13.11  
  30    |   0.3231    |  11.89  
  35    |   0.3031    |  10.94  
  40    |   0.2934    |  10.19  
  45    |   0.2183    |   9.60  
  50    |   0.2183    |   9.11  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6116    |   inf   
   5    |   0.6234    |  25.89  
  10    |   0.6480    |  20.20  
  15    |   0.6355    |  16.94  
  20    |   0.5128    |  14.72  
  25    |   0.4476    |  13.11  
  30    |   0.3610    |  11.88  
  35    |   0.3231    |  10.94  
  40    |   0.3333    |  10.19  
  45    |   0.2374    |   9.59  
  50    |   0.2278    |   9.11  


