# Gaussian Noise Analysis
# Date: 2025-05-21 20:05:44
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=16

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2528    |   inf   
   5    |   0.2098    |  26.05  
  10    |   0.1986    |  20.24  
  15    |   0.2041    |  16.96  
  20    |   0.2170    |  14.73  
  25    |   0.1544    |  13.11  
  30    |   0.1871    |  11.89  
  35    |   0.1758    |  10.94  
  40    |   0.1956    |  10.19  
  45    |   0.2183    |   9.60  
  50    |   0.2226    |   9.11  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3443    |   inf   
   5    |   0.3222    |  26.03  
  10    |   0.3689    |  20.23  
  15    |   0.2496    |  16.95  
  20    |   0.2170    |  14.73  
  25    |   0.2247    |  13.11  
  30    |   0.1956    |  11.89  
  35    |   0.2582    |  10.94  
  40    |   0.1956    |  10.19  
  45    |   0.2183    |   9.60  
  50    |   0.2084    |   9.11  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4691    |   inf   
   5    |   0.3994    |  26.00  
  10    |   0.3997    |  20.23  
  15    |   0.3768    |  16.95  
  20    |   0.3450    |  14.73  
  25    |   0.2794    |  13.11  
  30    |   0.2794    |  11.89  
  35    |   0.2616    |  10.94  
  40    |   0.2766    |  10.19  
  45    |   0.2766    |   9.60  
  50    |   0.2343    |   9.11  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5306    |   inf   
   5    |   0.5051    |  25.96  
  10    |   0.4643    |  20.22  
  15    |   0.4320    |  16.95  
  20    |   0.4415    |  14.73  
  25    |   0.3953    |  13.11  
  30    |   0.3023    |  11.89  
  35    |   0.3069    |  10.94  
  40    |   0.2669    |  10.19  
  45    |   0.2582    |   9.60  
  50    |   0.2712    |   9.11  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6179    |   inf   
   5    |   0.5965    |  25.92  
  10    |   0.4948    |  20.21  
  15    |   0.4710    |  16.94  
  20    |   0.4610    |  14.72  
  25    |   0.4472    |  13.11  
  30    |   0.4134    |  11.89  
  35    |   0.3763    |  10.94  
  40    |   0.3533    |  10.19  
  45    |   0.2994    |   9.60  
  50    |   0.3125    |   9.11  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6456    |   inf   
   5    |   0.6571    |  25.87  
  10    |   0.6057    |  20.19  
  15    |   0.5318    |  16.94  
  20    |   0.5128    |  14.72  
  25    |   0.4760    |  13.11  
  30    |   0.4659    |  11.88  
  35    |   0.4415    |  10.94  
  40    |   0.4042    |  10.19  
  45    |   0.3310    |   9.60  
  50    |   0.3125    |   9.11  


