# JPEG Quality Compression Analysis
# Date: 2025-05-20 21:27:10
# Parameters: Image=goldhill, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=2

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3130    |  24.10  
  12    |   0.4436    |  30.10  
  23    |   0.3333    |  32.37  
  34    |   0.4642    |  33.71  
  45    |   0.3685    |  34.68  
  56    |   0.4642    |  35.45  
  67    |   0.4642    |  36.39  
  78    |   0.4642    |  37.78  
  89    |   0.5187    |  40.40  
  100   |   0.5187    |  50.65  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3989    |  24.09  
  12    |   0.5560    |  30.06  
  23    |   0.5081    |  32.30  
  34    |   0.5850    |  33.62  
  45    |   0.5850    |  34.56  
  56    |   0.6091    |  35.32  
  67    |   0.5850    |  36.21  
  78    |   0.5850    |  37.55  
  89    |   0.5850    |  39.99  
  100   |   0.5850    |  47.52  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5819    |  24.07  
  12    |   0.6900    |  30.00  
  23    |   0.6900    |  32.21  
  34    |   0.6346    |  33.51  
  45    |   0.6346    |  34.41  
  56    |   0.6615    |  35.14  
  67    |   0.6615    |  35.99  
  78    |   0.6615    |  37.25  
  89    |   0.6615    |  39.48  
  100   |   0.6615    |  45.20  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.7204    |  24.05  
  12    |   0.7529    |  29.92  
  23    |   0.6900    |  32.06  
  34    |   0.6900    |  33.33  
  45    |   0.6615    |  34.19  
  56    |   0.6900    |  34.87  
  67    |   0.6615    |  35.67  
  78    |   0.6900    |  36.81  
  89    |   0.6900    |  38.78  
  100   |   0.6900    |  43.02  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.7879    |  24.02  
  12    |   0.7879    |  29.82  
  23    |   0.9200    |  31.92  
  34    |   0.8365    |  33.10  
  45    |   0.8731    |  33.94  
  56    |   0.8731    |  34.58  
  67    |   0.8365    |  35.32  
  78    |   0.8731    |  36.37  
  89    |   0.8365    |  38.11  
  100   |   0.8365    |  41.43  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.7879    |  23.99  
  12    |   0.9564    |  29.70  
  23    |   1.0000    |  31.70  
  34    |   1.0000    |  32.84  
  45    |   1.0000    |  33.61  
  56    |   1.0000    |  34.21  
  67    |   1.0000    |  34.89  
  78    |   1.0000    |  35.81  
  89    |   1.0000    |  37.30  
  100   |   1.0000    |  39.85  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.8259    |  23.96  
  12    |   0.9564    |  29.57  
  23    |   1.0000    |  31.51  
  34    |   1.0000    |  32.59  
  45    |   1.0000    |  33.29  
  56    |   1.0000    |  33.87  
  67    |   1.0000    |  34.48  
  78    |   1.0000    |  35.31  
  89    |   1.0000    |  36.62  
  100   |   1.0000    |  38.69  


