# Gaussian Noise Analysis
# Date: 2025-05-21 07:02:47
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=16

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1262    |   inf   
   5    |   0.1086    |  26.02  
  10    |   0.0716    |  20.11  
  15    |   0.1218    |  16.78  
  20    |   0.0760    |  14.54  
  25    |   0.0444    |  12.93  
  30    |   0.0542    |  11.73  
  35    |   0.0401    |  10.81  
  40    |   -0.0066   |  10.09  
  45    |   0.0205    |   9.53  
  50    |   0.0205    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1531    |   inf   
   5    |   0.2093    |  26.00  
  10    |   0.1863    |  20.10  
  15    |   0.1306    |  16.78  
  20    |   0.0936    |  14.54  
  25    |   0.0706    |  12.93  
  30    |   0.0760    |  11.73  
  35    |   0.0716    |  10.81  
  40    |   0.0303    |  10.09  
  45    |   0.0521    |   9.53  
  50    |   0.0205    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2182    |   inf   
   5    |   0.2556    |  25.97  
  10    |   0.2746    |  20.10  
  15    |   0.2509    |  16.78  
  20    |   0.1809    |  14.54  
  25    |   0.0972    |  12.93  
  30    |   0.0891    |  11.73  
  35    |   0.0891    |  10.81  
  40    |   0.0760    |  10.09  
  45    |   0.0609    |   9.53  
  50    |   0.0521    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3220    |   inf   
   5    |   0.3130    |  25.94  
  10    |   0.3143    |  20.09  
  15    |   0.3524    |  16.77  
  20    |   0.2655    |  14.54  
  25    |   0.1481    |  12.93  
  30    |   0.1345    |  11.73  
  35    |   0.0936    |  10.81  
  40    |   0.0804    |  10.09  
  45    |   0.1077    |   9.53  
  50    |   0.0653    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.3923    |   inf   
   5    |   0.3982    |  25.89  
  10    |   0.4402    |  20.08  
  15    |   0.4323    |  16.77  
  20    |   0.3405    |  14.54  
  25    |   0.1951    |  12.93  
  30    |   0.1527    |  11.73  
  35    |   0.1435    |  10.81  
  40    |   0.0972    |  10.09  
  45    |   0.1165    |   9.53  
  50    |   0.1441    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5255    |   inf   
   5    |   0.5427    |  25.84  
  10    |   0.5158    |  20.06  
  15    |   0.5095    |  16.76  
  20    |   0.4625    |  14.53  
  25    |   0.3351    |  12.92  
  30    |   0.2381    |  11.72  
  35    |   0.2234    |  10.81  
  40    |   0.1761    |  10.09  
  45    |   0.1622    |   9.53  
  50    |   0.1486    |   9.07  


