# JPEG Quality Compression Analysis
# Date: 2025-05-21 05:08:41
# Parameters: Image=lenna, Watermark Type=2, Seed=2537, Equal Probability=False, Sequences=16

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   -0.0205   |  24.00  
  12    |   0.0510    |  30.32  
  23    |   0.0228    |  32.35  
  34    |   0.0294    |  33.40  
  45    |   0.0640    |  34.13  
  56    |   0.0239    |  34.72  
  67    |   0.0629    |  35.46  
  78    |   0.0727    |  36.53  
  89    |   0.0499    |  38.58  
  100   |   0.0640    |  50.37  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.0781    |  24.00  
  12    |   0.0814    |  30.29  
  23    |   0.1314    |  32.32  
  34    |   0.1359    |  33.34  
  45    |   0.1306    |  34.06  
  56    |   0.1262    |  34.65  
  67    |   0.1441    |  35.37  
  78    |   0.1306    |  36.42  
  89    |   0.1262    |  38.40  
  100   |   0.1262    |  48.19  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1042    |  23.99  
  12    |   0.1345    |  30.23  
  23    |   0.1531    |  32.22  
  34    |   0.1486    |  33.21  
  45    |   0.1531    |  33.93  
  56    |   0.1668    |  34.48  
  67    |   0.1396    |  35.18  
  78    |   0.1531    |  36.17  
  89    |   0.1531    |  38.03  
  100   |   0.1531    |  45.53  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1781    |  23.97  
  12    |   0.2136    |  30.16  
  23    |   0.2090    |  32.10  
  34    |   0.2136    |  33.07  
  45    |   0.2556    |  33.76  
  56    |   0.2556    |  34.29  
  67    |   0.2182    |  34.94  
  78    |   0.2182    |  35.88  
  89    |   0.2182    |  37.60  
  100   |   0.2182    |  43.51  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1863    |  23.95  
  12    |   0.2622    |  30.07  
  23    |   0.2813    |  31.96  
  34    |   0.2837    |  32.91  
  45    |   0.3170    |  33.58  
  56    |   0.3170    |  34.09  
  67    |   0.2843    |  34.70  
  78    |   0.3170    |  35.58  
  89    |   0.2941    |  37.15  
  100   |   0.3170    |  41.99  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2369    |  23.91  
  12    |   0.3886    |  29.95  
  23    |   0.3714    |  31.79  
  34    |   0.4075    |  32.69  
  45    |   0.3886    |  33.31  
  56    |   0.3923    |  33.80  
  67    |   0.3886    |  34.37  
  78    |   0.3923    |  35.19  
  89    |   0.3923    |  36.61  
  100   |   0.4024    |  40.50  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2418    |  23.87  
  12    |   0.4968    |  29.79  
  23    |   0.5121    |  31.56  
  34    |   0.5197    |  32.44  
  45    |   0.5003    |  33.00  
  56    |   0.5375    |  33.44  
  67    |   0.5255    |  33.98  
  78    |   0.5315    |  34.71  
  89    |   0.5315    |  35.95  
  100   |   0.5315    |  39.03  


