# JPEG Quality Compression Analysis
# Date: 2025-05-20 21:25:18
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=2

## Gain Factor: 5
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.1996    |  24.00  
  12    |   0.3299    |  30.31  
  23    |   0.2934    |  32.36  
  34    |   0.2742    |  33.40  
  45    |   0.3299    |  34.14  
  56    |   0.2742    |  34.73  
  67    |   0.2742    |  35.46  
  78    |   0.2742    |  36.54  
  89    |   0.2742    |  38.60  
  100   |   0.2742    |  50.66  


## Gain Factor: 10
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.2571    |  23.99  
  12    |   0.4043    |  30.28  
  23    |   0.4236    |  32.29  
  34    |   0.4436    |  33.31  
  45    |   0.3685    |  34.04  
  56    |   0.4236    |  34.61  
  67    |   0.4236    |  35.33  
  78    |   0.4236    |  36.37  
  89    |   0.4236    |  38.32  
  100   |   0.4236    |  47.52  


## Gain Factor: 15
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.3886    |  23.98  
  12    |   0.4642    |  30.23  
  23    |   0.4642    |  32.20  
  34    |   0.4857    |  33.20  
  45    |   0.5081    |  33.90  
  56    |   0.5081    |  34.46  
  67    |   0.5081    |  35.15  
  78    |   0.5081    |  36.14  
  89    |   0.5081    |  37.97  
  100   |   0.5081    |  45.20  


## Gain Factor: 20
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5619    |  23.96  
  12    |   0.5081    |  30.14  
  23    |   0.5819    |  32.06  
  34    |   0.6091    |  33.02  
  45    |   0.5560    |  33.70  
  56    |   0.5560    |  34.23  
  67    |   0.5560    |  34.88  
  78    |   0.5560    |  35.79  
  89    |   0.5560    |  37.46  
  100   |   0.5560    |  43.02  


## Gain Factor: 25
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.5850    |  23.94  
  12    |   0.5819    |  30.04  
  23    |   0.6900    |  31.91  
  34    |   0.6900    |  32.84  
  45    |   0.6384    |  33.48  
  56    |   0.7204    |  33.98  
  67    |   0.6615    |  34.59  
  78    |   0.6615    |  35.45  
  89    |   0.6900    |  36.96  
  100   |   0.6900    |  41.43  


## Gain Factor: 30
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.6868    |  23.90  
  12    |   0.7879    |  29.89  
  23    |   0.7529    |  31.71  
  34    |   0.7879    |  32.58  
  45    |   0.7879    |  33.18  
  56    |   0.7879    |  33.66  
  67    |   0.7879    |  34.21  
  78    |   0.7879    |  34.99  
  89    |   0.7879    |  36.32  
  100   |   0.7879    |  39.85  


## Gain Factor: 35
Quality | Correlation | PSNR (dB)
-----------------------------------
   1    |   0.7132    |  23.87  
  12    |   0.8365    |  29.73  
  23    |   0.8365    |  31.49  
  34    |   0.8365    |  32.34  
  45    |   0.8365    |  32.91  
  56    |   0.8365    |  33.34  
  67    |   0.8365    |  33.86  
  78    |   0.8365    |  34.57  
  89    |   0.8365    |  35.77  
  100   |   0.8365    |  38.69  


