# Gaussian Noise Analysis
# Date: 2025-05-20 22:26:09
# Parameters: Image=lenna, Watermark Type=2, Seed=104, Equal Probability=False, Sequences=4

## Gain Factor: 10
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.1351    |   inf   
   5    |   0.1086    |  26.01  
  10    |   0.0911    |  20.10  
  15    |   0.0521    |  16.77  
  20    |   0.0064    |  14.53  
  25    |   0.0064    |  12.92  
  30    |   0.0151    |  11.72  
  35    |   0.0238    |  10.80  
  40    |   0.0325    |  10.09  
  45    |   0.0325    |   9.53  
  50    |   0.0238    |   9.07  


## Gain Factor: 15
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.2852    |   inf   
   5    |   0.2852    |  25.99  
  10    |   0.1904    |  20.10  
  15    |   0.1531    |  16.77  
  20    |   0.1249    |  14.53  
  25    |   0.0325    |  12.92  
  30    |   0.0502    |  11.72  
  35    |   0.0681    |  10.80  
  40    |   0.0771    |  10.09  
  45    |   0.0771    |   9.53  
  50    |   0.0771    |   9.07  


## Gain Factor: 20
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4095    |   inf   
   5    |   0.4642    |  25.97  
  10    |   0.3055    |  20.09  
  15    |   0.2374    |  16.77  
  20    |   0.2278    |  14.53  
  25    |   0.1618    |  12.92  
  30    |   0.1240    |  11.72  
  35    |   0.1148    |  10.80  
  40    |   0.1240    |  10.09  
  45    |   0.1148    |   9.53  
  50    |   0.1056    |   9.07  


## Gain Factor: 25
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.4697    |   inf   
   5    |   0.4857    |  25.94  
  10    |   0.4538    |  20.08  
  15    |   0.3265    |  16.76  
  20    |   0.2985    |  14.53  
  25    |   0.2571    |  12.92  
  30    |   0.1810    |  11.72  
  35    |   0.1713    |  10.80  
  40    |   0.1429    |  10.09  
  45    |   0.1334    |   9.52  
  50    |   0.1996    |   9.07  


## Gain Factor: 30
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.5850    |   inf   
   5    |   0.5827    |  25.90  
  10    |   0.5315    |  20.07  
  15    |   0.4107    |  16.76  
  20    |   0.3712    |  14.53  
  25    |   0.3712    |  12.92  
  30    |   0.2597    |  11.72  
  35    |   0.2106    |  10.80  
  40    |   0.2190    |  10.09  
  45    |   0.2672    |   9.52  
  50    |   0.2472    |   9.07  


## Gain Factor: 35
Noise % | Correlation | PSNR (dB)
-----------------------------------
   0    |   0.6608    |   inf   
   5    |   0.6346    |  25.85  
  10    |   0.6083    |  20.06  
  15    |   0.5954    |  16.76  
  20    |   0.4625    |  14.52  
  25    |   0.3989    |  12.91  
  30    |   0.3989    |  11.72  
  35    |   0.3432    |  10.80  
  40    |   0.3204    |  10.09  
  45    |   0.2985    |   9.52  
  50    |   0.2879    |   9.07  


